Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $372.11/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method
0x87585997a4951023c08f839be18d7d241b5147896e06b4e80d47acce84cc01ae,13994892,1641070993,1/1/2022 21:03,0x7dcf4ec29d333f392f3b5a10ee99f4999bc6d3ce,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.00029347,0.109203122,527.5,,,Transfer
0x0e60db165ebcdc6481aaa2d130e2abcb8660d2808b883a1ee669e9670e8d44f7,13994942,1641071143,1/1/2022 21:05,0x18b31c66af8c42edaf5c381726d6753e1d7df4f5,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.00021853,0.081317198,527.5,,,Transfer
0x31af121be2e458ad06ecb835860c3b5efc3de82d0cd8f5226c802a9b1c3bea98,13995221,1641071980,1/1/2022 21:19,0x108342190a4c23891c6706e922b5437f73b1b5b9,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.00014347,0.053386622,527.5,,,Transfer
0x271313660f97815173fb5927fe4827a220feaca2a7acd072c1f8f2c27e7609b1,13995256,1641072085,1/1/2022 21:21,0x7dcf4ec29d333f392f3b5a10ee99f4999bc6d3ce,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.00021865,0.081361852,527.5,,,Transfer
0x796df625baed7d35ee593602f7e26e0ee33800053e12642d68310fb1606c8410,13995329,1641072304,1/1/2022 21:25,0x108342190a4c23891c6706e922b5437f73b1b5b9,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.00029353,0.109225448,527.5,,,Transfer
0x7f19a47b3e9672424d2a1c656fb30a34a3e41f6cc4c4b44bb1540dcfd9fa6dc2,13995508,1641072841,1/1/2022 21:34,0x7dcf4ec29d333f392f3b5a10ee99f4999bc6d3ce,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.00014353,0.053408948,527.5,,,Transfer
0xf65cb2e0265bd96395b2bf45a77e3574ab616b31ab5ffc9028370fb0721e590b,14012342,1641123371,1/2/2022 11:36,0xeead2ae6eb6d99f16bedae7996027bf51290c1cd,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.00029353,0.109225448,531.25,,,Transfer
0x82490ec7a6b973e2e3796a86d069940f384fe7f1291e21a6e0bd533c37ffc9b6,14057177,1641258204,1/4/2022 1:03,0x3bb88f304e03592d9c18a392a6560f7888b6202f,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.00021865,0.081361852,506.73,,,Transfer
0x0ef01f54c218fd49c9af54041f7aa36b35a5c590709de53cf77641765dc4dea8,14059931,1641266468,1/4/2022 3:21,0x8c9f1f99cd94847e45a73371a07b9f2bbc3c2c80,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.00021853,0.081317198,506.73,,,Transfer
0x498f135703acd2e7264a62493ed9b3ea1ffaddf911bf7ff0448ea8bd2421cc74,14083173,1641336407,1/4/2022 22:46,0x108342190a4c23891c6706e922b5437f73b1b5b9,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.00021865,0.081361852,506.73,,,Transfer
0x5e83681fcfca36b05e39b2475a88d138113da0596ec0e583a86f0f4552ff472b,14083752,1641338144,1/4/2022 23:15,0x7dcf4ec29d333f392f3b5a10ee99f4999bc6d3ce,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.00021859,0.081339525,506.73,,,Transfer
0x173cd3b53d2c912e7018b724cf50205a48cfb36d8e6aa763aa2745743f78c641,14097672,1641379984,1/5/2022 10:53,0xa7dbe7da61952caabc4f6ff47d4dd60aae36f767,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.00021859,0.081339525,473.76,,,Transfer
